symbol_id,seal_id,pc1,pc2,symbol_index,cluster_id
page039_M-4_B_c0_sym_001,page039_M-4_B_c0,1.4166985,0.6290567,1,21
page046_M-12_a_c1_sym_001,page046_M-12_a_c1,0.47295043,0.0650423,1,24
page046_M-12_a_c1_sym_002,page046_M-12_a_c1,0.4720852,0.07246059,2,24
page046_M-12_a_c1_sym_003,page046_M-12_a_c1,-0.45245215,-0.59679854,3,30
page046_M-12_a_c1_sym_004,page046_M-12_a_c1,-0.5939916,-0.78178036,4,30
page046_M-12_a_c1_sym_005,page046_M-12_a_c1,-1.2263497,-1.1474901,5,10
page046_M-12_a_c1_sym_006,page046_M-12_a_c1,0.010156192,-0.34167853,6,22
page046_M-12_a_c1_sym_007,page046_M-12_a_c1,1.3209606,0.6514682,7,38
page046_M-12_a_c1_sym_008,page046_M-12_a_c1,-1.2289791,-1.1465385,8,10
page046_M-12_a_c1_sym_009,page046_M-12_a_c1,-0.591931,-0.70999575,9,30
page046_M-12_a_c1_sym_010,page046_M-12_a_c1,-1.0519445,-1.1196523,10,10
page046_M-12_a_c1_sym_011,page046_M-12_a_c1,0.50986266,0.120775834,11,24
page046_M-12_a_c1_sym_012,page046_M-12_a_c1,-0.31104434,-0.5647523,12,1
page046_M-12_a_c1_sym_013,page046_M-12_a_c1,0.7335235,0.1834621,13,38
page046_M-12_a_c1_sym_014,page046_M-12_a_c1,-0.5849331,-0.7594406,14,30
page046_M-12_a_c1_sym_015,page046_M-12_a_c1,-0.28492942,-0.4533185,15,24
page046_M-12_a_c1_sym_016,page046_M-12_a_c1,3.469334,2.3735957,16,3
page046_M-12_a_c1_sym_017,page046_M-12_a_c1,-0.95316714,-1.0339522,17,10
page046_M-12_a_c1_sym_018,page046_M-12_a_c1,-0.9268964,-0.9388128,18,10
page046_M-12_a_c1_sym_019,page046_M-12_a_c1,0.03378662,-0.32969922,19,22
page046_M-12_a_c1_sym_020,page046_M-12_a_c1,-1.4160231,-1.165577,20,9
page046_M-12_a_c1_sym_021,page046_M-12_a_c1,-0.7018531,-0.87565064,21,30
page046_M-12_a_c1_sym_022,page046_M-12_a_c1,-0.4794104,-0.6960212,22,30
page046_M-12_a_c1_sym_023,page046_M-12_a_c1,-0.6538907,-0.79692984,23,30
page046_M-12_a_c1_sym_024,page046_M-12_a_c1,-4.2706094,-1.615599,24,31
page046_M-12_a_c1_sym_025,page046_M-12_a_c1,-3.207221,-1.3554238,25,5
page046_M-12_a_c1_sym_026,page046_M-12_a_c1,-1.3156718,-1.1541996,26,10
page046_M-12_a_c1_sym_027,page046_M-12_a_c1,-0.5723593,-0.70597607,27,30
page046_M-12_a_c1_sym_028,page046_M-12_a_c1,-1.7052759,-1.2117286,28,23
page046_M-12_a_c1_sym_029,page046_M-12_a_c1,-0.53646976,-0.6802062,29,30
page046_M-12_a_c1_sym_030,page046_M-12_a_c1,0.3295033,-0.03714963,30,24
page046_M-12_a_c1_sym_031,page046_M-12_a_c1,1.1485484,0.54733527,31,38
page046_M-12_a_c1_sym_032,page046_M-12_a_c1,-0.60362375,-0.67844754,32,30
page046_M-12_a_c1_sym_033,page046_M-12_a_c1,-1.021299,-1.1148161,33,10
page046_M-12_a_c1_sym_034,page046_M-12_a_c1,1.4568027,0.78782725,34,20
page046_M-12_a_c1_sym_035,page046_M-12_a_c1,-1.785756,-1.2013453,35,9
page046_M-12_a_c1_sym_036,page046_M-12_a_c1,-1.4409746,-1.1674627,36,9
page046_M-12_a_c1_sym_037,page046_M-12_a_c1,-0.49622065,-0.69792384,37,30
page046_M-12_a_c1_sym_038,page046_M-12_a_c1,-1.8189194,-1.2332199,38,23
page046_M-12_a_c1_sym_039,page046_M-12_a_c1,-1.5029738,-1.1433524,39,23
page046_M-12_a_c1_sym_040,page046_M-12_a_c1,-0.3963514,-0.61586976,40,1
page046_M-12_a_c1_sym_041,page046_M-12_a_c1,-6.9002833,2.693133,41,33
page046_M-12_a_c1_sym_042,page046_M-12_a_c1,2.0153747,1.0237896,42,21
page046_M-12_a_c1_sym_043,page046_M-12_a_c1,-4.1099443,0.2859731,43,5
page046_M-12_a_c1_sym_044,page046_M-12_a_c1,-10.111211,6.5919313,44,8
page046_M-12_a_c1_sym_045,page046_M-12_a_c1,2.0153747,1.0237896,45,21
page046_M-12_a_c1_sym_046,page046_M-12_a_c1,-5.0749683,0.70695984,46,18
page046_M-12_a_c1_sym_047,page046_M-12_a_c1,-11.625606,11.323106,47,32
page046_M-12_a_c1_sym_048,page046_M-12_a_c1,-56.220314,81.84979,48,2
page046_M-12_a_c1_sym_049,page046_M-12_a_c1,2.0153747,1.0237896,49,21
page046_M-12_a_c1_sym_050,page046_M-12_a_c1,-1.7732363,-1.1410933,50,9
page046_M-12_a_c1_sym_051,page046_M-12_a_c1,-1.3869436,-1.1159158,51,10
page046_M-12_a_c1_sym_052,page046_M-12_a_c1,2.0153747,1.0237896,52,21
page048_M-17_a_c0_sym_001,page048_M-17_a_c0,-3.348308,-1.2473427,1,28
page049_M-19_A_c0_sym_001,page049_M-19_A_c0,-0.8476385,-0.9458839,1,10
page049_M-19_A_c0_sym_002,page049_M-19_A_c0,-1.2949411,-1.1473467,2,10
page049_M-20_A_c0_sym_001,page049_M-20_A_c0,-0.8476385,-0.9458839,1,10
page049_M-20_A_c0_sym_002,page049_M-20_A_c0,-1.2949411,-1.1473467,2,10
page049_M-21_A_c0_sym_001,page049_M-21_A_c0,-1.0491428,-1.1191516,1,10
page050_M-23_A_c0_sym_001,page050_M-23_A_c0,-1.0459496,-1.1190054,1,10
page050_M-23_A_c0_sym_002,page050_M-23_A_c0,-0.07029621,-0.39549562,2,1
page050_M-23_A_c0_sym_003,page050_M-23_A_c0,-1.1995018,-1.0782719,3,10
page050_M-24_A_c0_sym_001,page050_M-24_A_c0,-1.0459496,-1.1190054,1,10
page050_M-24_A_c0_sym_002,page050_M-24_A_c0,-0.07029621,-0.39549562,2,1
page050_M-24_A_c0_sym_003,page050_M-24_A_c0,-1.1995018,-1.0782719,3,10
page054_M-34_a_bis_c1_sym_001,page054_M-34_a_bis_c1,0.6151298,0.07184002,1,29
page054_M-34_a_c1_sym_001,page054_M-34_a_c1,0.6151298,0.07184002,1,29
page055_M-36_A_c0_sym_001,page055_M-36_A_c0,-0.7347528,-0.88813144,1,30
page055_M-36_A_c0_sym_002,page055_M-36_A_c0,0.6687771,0.16032591,2,38
page055_M-36_A_c0_sym_003,page055_M-36_A_c0,2.9241898,1.9765884,3,37
page055_M-36_A_c0_sym_004,page055_M-36_A_c0,0.535361,0.06628891,4,38
page055_M-36_A_c0_sym_005,page055_M-36_A_c0,0.6704514,0.10397299,5,29
page055_M-36_A_c0_sym_006,page055_M-36_A_c0,-1.1945567,-1.1170492,6,10
page055_M-36_A_c0_sym_007,page055_M-36_A_c0,2.2703323,1.3939794,7,35
page055_M-36_A_c0_sym_008,page055_M-36_A_c0,0.1315848,-0.28038648,8,29
page055_M-36_A_c0_sym_009,page055_M-36_A_c0,0.953411,0.30065084,9,7
page055_M-36_A_c0_sym_010,page055_M-36_A_c0,2.009204,1.2048607,10,35
